Fecha,Tmax,Tmin,PP
2021-05-12,19.8,5.8,0.0
2021-05-13,17.8,6.2,0.0
2021-05-14,17.9,7.4,0.4
2021-05-15,16.2,8.8,8.2
2021-05-16,15.5,9.8,7.4
2021-05-17,18.2,7.8,5.3
2021-05-18,15.2,8.5,3.8
2021-05-19,19.0,8.0,0.0
2021-05-20,18.5,7.2,0.0
2021-05-21,19.4,6.8,0.1
2021-05-22,17.8,8.2,0.0
2021-05-23,16.4,7.2,1.0
2021-05-24,17.9,7.9,4.7
2021-05-25,16.4,7.2,0.0
2021-05-26,18.2,5.8,0.0
2021-05-27,18.8,6.2,0.0
2021-05-28,17.2,6.8,0.0
2021-05-29,17.0,5.9,0.5
2021-05-30,17.2,6.2,0.0
2021-05-31,17.2,8.2,0.3
2021-06-01,18.2,7.5,0.0
2021-06-02,18.2,7.9,0.0
2021-06-03,17.2,6.0,0.1
2021-06-04,16.9,7.9,0.0
2021-06-05,16.9,7.0,1.2
2021-06-06,17.7,8.1,9.0
2021-06-07,15.4,9.0,3.6
2021-06-08,14.3,8.9,8.0
2021-06-09,15.2,6.9,0.0
2021-06-10,17.2,6.7,0.0
2021-06-11,18.3,7.2,0.0
2021-06-12,18.3,6.8,0.0
2021-06-13,17.3,8.2,0.0
2021-06-14,16.9,6.4,0.4
2021-06-15,15.5,6.0,0.0
2021-06-16,16.8,5.9,0.5
2021-06-17,17.0,6.5,0.0
2021-06-18,18.3,6.2,0.0
2021-06-19,16.9,6.9,3.2
2021-06-20,15.3,7.5,2.4
2021-06-21,17.5,7.4,0.0
2021-06-22,16.8,6.9,0.2
2021-06-23,16.9,6.4,0.0
2021-06-24,17.2,5.8,0.0
2021-06-25,18.8,5.9,0.2
2021-06-26,17.2,6.0,0.0
2021-06-27,19.0,5.2,1.0
2021-06-28,17.2,5.2,0.0
2021-06-29,17.2,5.9,1.6
2021-06-30,16.8,8.4,0.5
2021-07-01,16.9,5.2,0.4
2021-07-02,19.0,5.2,0.0
2021-07-03,18.4,6.0,0.0
2021-07-04,18.2,5.2,0.0
2021-07-05,18.9,5.1,0.0
2021-07-06,19.9,4.8,0.0
2021-07-07,19.6,5.2,0.0
2021-07-08,17.4,6.0,0.0
2021-07-09,16.8,6.2,0.0
