Fecha,Tmax,Tmin,PP
2022-01-01,15.7,7.0,1.1
2022-01-02,15.9,5.4,0.0
2022-01-03,13.6,7.8,0.0
2022-01-04,13.3,6.5,0.0
2022-01-05,13.9,4.2,0.0
2022-01-06,15.2,4.9,0.0
2022-01-07,13.9,4.1,0.0
2022-01-08,12.9,4.5,0.0
2022-01-09,14.2,3.9,0.4
2022-01-10,14.1,2.9,0.0
2022-01-11,15.1,4.2,0.0
2022-01-12,15.2,2.2,0.0
2022-01-13,17.2,3.5,0.0
2022-01-14,18.1,7.6,0.0
2022-01-15,14.7,7.1,1.5
2022-01-16,14.9,5.8,0.8
2022-01-17,17.9,3.3,8.6
2022-01-18,16.6,4.5,2.6
2022-01-19,17.5,4.4,0.0
2022-01-20,16.3,7.4,0.9
2022-01-21,14.9,7.7,2.4
2022-01-22,15.1,5.7,6.5
2022-01-23,14.5,6.1,3.3
2022-01-24,16.2,7.1,5
2022-01-25,15.2,7.4,8.3
2022-01-26,10.5,7.4,3
2022-01-27,15.1,5.3,2.1
2022-01-28,15.2,4.4,0.0
2022-01-29,12.2,4.7,0.3
2022-01-30,11.7,3.6,0.0
2022-01-31,14.4,1.4,0.0
2022-02-01,14.6,1.0,0.0
2022-02-02,15.7,2.4,0.0
2022-02-03,13.5,5.1,0.0
2022-02-04,14.7,5.1,0.0
2022-02-05,14.7,3.3,0.0
2022-02-06,14.4,6.3,0.7
2022-02-07,14.8,7.5,5.5
2022-02-08,15.6,7.8,2.4
2022-02-09,14.3,7.5,4.7
2022-02-10,12.8,6.6,5.6
2022-02-11,14.3,7.5,9.8
2022-02-12,17.2,7.3,4
2022-02-13,12.5,7.7,2.7
2022-02-14,13.1,6.7,1.3
2022-02-15,14.0,6.5,0.3
2022-02-16,12.6,6.9,10.1
2022-02-17,15.7,7.1,8.6
2022-02-18,15.5,7.1,0.0
2022-02-19,13.4,6.2,0.0
2022-02-20,14.1,5.0,0.0
2022-02-21,16.2,3.2,0.0
2022-02-22,13.0,5.8,0.5
2022-02-23,12.4,6.1,1.6
2022-02-24,13.0,7.0,1.4
2022-02-25,14.3,7.3,9.1
2022-02-26,13.8,7.4,0.0
2022-02-27,13.0,7.7,8.5
2022-02-28,16.5,4.1,0.9
2022-03-01,15.3,5.5,2.9
2022-03-02,16.8,6.7,0.6
2022-03-03,13.3,7.1,3.7
2022-03-04,14.5,6.1,0.5
2022-03-05,13.0,5.7,0.0
2022-03-06,13.8,3.7,0.0
2022-03-07,13.5,4.0,0.1
2022-03-08,12.2,4.1,0.0
2022-03-09,10.4,5.0,0.0
2022-03-10,13.7,2.8,0.0
2022-03-11,15.2,3.1,0.0
2022-03-12,12.9,3.4,1.0
2022-03-13,12,5.6,6.3
2022-03-14,9.4,5.5,0.6
2022-03-15,14.6,2.9,1.1
2022-03-16,15.5,2.8,0.0
2022-03-17,15.3,2.3,2.5
2022-03-18,16.4,2.7,0.0
